Unique ID,Father's Occupation ,Father's Qualification  ,Mother's Occupation  ,Mother's Qualification  ,Annual Parental income between ии.... to ..........,Whom do you admire most and why?,Which one is the most favorite hobby/interest?,List your strengths.,List your weaknesses.,Currently what course you are pursuing?,"Whether your strengths assist you in taking academic decisions. Yes/No. If yes, how and if no, why.",Whether your weaknesses is a hindrance in taking a decision.,Who helped you in opting for this course?,Whether the course opted will help you to pursue your future prospects. Yes/No How?,"Are you satisfied with the course you are desirous of choosing? If no, would you still consider choosing this course?"
1,4,1,3,3,4,5,1,1,0,3,1,0,1,1,1
2,4,5,1,6,4,5,9,2,1,1,1,0,5,1,1
3,4,5,1,6,4,5,9,2,1,4,1,0,5,1,1
4,2,5,3,3,4,1,2,2,1,4,1,1,2,1,1
5,2,2,3,2,5,5,1,1,1,8,1,0,5,1,1
6,2,2,3,2,5,1,2,2,0,2,1,1,1,1,1
7,2,2,3,2,5,1,2,2,1,2,1,2,1,1,1
8,2,3,1,4,0,1,7,2,1,3,1,2,1,1,1
9,2,3,3,4,3,1,1,2,2,8,1,1,2,1,1
10,2,2,1,2,3,1,3,2,2,2,1,2,1,1,1
11,2,3,1,4,5,1,7,2,3,3,1,2,1,1,1
12,2,3,3,3,3,1,0,2,1,8,1,2,6,1,1
13,2,4,1,5,0,5,1,2,0,8,1,1,5,1,1
14,2,1,3,3,3,1,1,7,1,4,1,0,5,1,1
15,2,3,3,4,2,0,6,6,2,6,0,2,0,1,0
16,2,4,1,5,3,1,2,3,0,5,1,0,1,1,1
17,2,2,1,4,3,2,8,2,1,4,0,2,1,1,1
18,2,4,3,4,3,5,4,1,2,2,0,1,5,1,1
19,1,4,3,6,4,1,5,6,4,4,1,2,2,1,1
20,2,5,1,6,3,1,4,5,2,4,1,2,1,1,1
21,3,5,1,3,3,1,0,7,3,2,0,0,3,1,1
22,3,5,1,3,4,1,0,7,4,2,1,1,5,1,1
23,3,4,1,4,4,0,1,7,0,3,1,0,5,1,1
24,1,2,1,3,3,5,1,4,3,4,1,2,1,1,1
25,1,4,1,6,2,1,1,2,2,4,1,2,5,1,1
26,2,3,1,3,2,1,0,3,1,2,1,1,1,1,1
27,2,3,3,4,3,1,0,7,3,7,1,2,1,1,1
28,2,3,3,3,4,1,1,2,4,2,1,2,5,1,1
29,2,3,3,3,3,1,2,2,0,2,1,2,1,1,1
30,2,2,1,3,2,1,1,2,2,2,1,1,1,1,1
31,2,3,3,3,4,1,1,2,4,2,1,2,5,1,1
32,2,3,1,3,4,1,1,1,2,2,1,2,1,1,1
33,2,2,1,4,4,5,0,0,0,4,1,2,1,1,1
34,2,5,1,4,5,0,7,5,2,4,1,2,1,1,1
35,2,3,1,4,4,2,2,2,1,4,1,2,2,1,1
36,2,3,1,4,4,1,0,4,1,4,1,2,2,1,1
37,2,4,1,3,4,2,2,2,4,4,1,1,2,1,1
38,2,4,3,4,3,4,9,2,3,1,1,1,4,1,1
39,1,2,3,2,0,1,0,1,2,2,1,0,1,1,1
40,2,0,3,4,0,1,0,7,1,2,1,2,1,1,1
41,1,3,1,5,4,1,2,2,1,4,0,1,4,2,1
42,1,3,3,4,3,1,9,6,1,2,1,2,1,1,1
43,3,3,3,4,3,1,9,1,1,2,1,0,1,1,1
44,3,2,1,4,4,1,1,2,2,4,1,1,1,1,1
45,4,5,3,4,4,1,4,2,1,4,1,2,2,1,1
46,2,4,1,4,5,1,7,2,1,3,0,2,2,1,1
47,1,3,1,3,4,4,6,4,1,8,1,2,6,1,1
48,1,2,1,3,4,1,2,2,1,1,1,2,5,1,1
49,1,5,1,5,5,1,1,2,2,4,1,2,2,1,1
50,1,4,1,5,4,5,0,5,0,4,1,0,4,1,1
51,1,4,3,3,5,1,0,2,2,1,1,1,1,1,1
52,0,3,1,4,4,1,4,2,2,2,1,2,5,1,1
53,2,3,1,5,3,5,4,6,0,4,1,1,6,1,0
54,1,4,1,2,4,1,1,2,2,4,1,1,1,1,1
55,2,3,3,3,4,2,6,2,4,4,1,2,1,2,1
56,1,3,3,3,3,1,0,2,1,2,1,1,2,1,1
57,3,3,3,4,2,1,4,2,1,2,1,1,5,1,1
58,1,3,1,3,2,1,4,2,2,1,1,1,1,1,1
59,1,3,3,1,5,1,1,2,3,2,1,1,1,1,1
60,2,5,3,4,3,1,1,4,2,4,1,1,2,1,1
61,2,2,1,5,0,1,2,2,2,8,1,1,4,1,1
62,2,2,0,3,2,5,0,2,1,3,1,1,7,1,1
63,2,1,1,3,2,1,1,1,0,4,1,2,5,1,1
64,2,5,3,3,4,1,4,3,0,4,1,2,2,1,1
65,2,4,1,5,4,2,4,7,0,2,1,2,5,1,1
66,2,4,1,4,0,1,1,7,0,2,1,2,5,1,1
67,2,3,1,3,0,2,0,4,2,2,1,1,5,1,1
68,2,4,1,4,1,2,2,2,2,2,1,1,5,1,1
69,2,4,3,4,0,2,1,6,3,3,1,1,2,1,1
70,2,4,3,3,4,1,9,2,2,1,1,0,5,1,1
71,2,6,1,6,4,2,4,7,0,2,1,2,5,1,1
72,2,5,4,4,3,1,0,2,1,3,1,0,2,1,1
73,2,2,2,4,4,1,1,7,1,2,1,2,5,1,1
74,2,2,1,0,3,2,6,2,3,3,1,2,2,1,1
75,2,3,1,4,5,5,0,2,3,3,1,1,1,1,1
76,2,3,3,4,5,1,9,1,2,1,1,0,2,1,1
77,2,0,1,5,4,1,4,7,0,2,1,2,3,1,1
78,2,5,1,6,3,1,0,2,4,3,1,0,2,1,1
79,2,0,1,5,4,1,0,2,1,2,1,2,6,1,1
80,2,3,1,4,3,1,1,2,1,8,1,0,6,1,1
81,2,4,1,6,3,1,9,7,0,3,1,2,6,1,1
82,2,3,1,4,2,4,3,5,2,8,1,1,4,1,1
83,3,5,1,6,2,2,1,6,2,2,1,1,5,1,1
84,1,5,1,3,4,1,9,2,2,4,1,1,1,1,1
85,1,4,3,4,3,5,4,6,2,2,0,2,2,1,1
86,1,4,1,3,4,1,1,2,0,4,1,0,5,1,1
87,1,3,1,6,4,1,2,2,3,4,1,2,4,1,1
88,0,0,0,3,5,0,7,2,0,3,1,1,4,1,1
89,0,4,2,4,4,1,0,2,3,4,1,0,2,1,1
90,0,2,3,4,4,1,6,2,1,4,1,2,1,1,1
91,0,0,0,0,3,2,4,7,0,3,1,1,3,1,1
92,0,0,3,4,5,1,7,2,1,3,1,2,1,1,1
93,2,2,3,3,4,1,1,2,1,4,1,1,4,1,1
94,2,4,3,3,4,0,1,2,1,4,1,1,1,1,1
95,2,3,1,3,5,5,0,2,0,4,1,1,4,1,1
96,1,4,3,3,4,1,2,3,1,2,1,2,2,1,1
97,1,4,3,3,4,1,2,2,1,2,1,2,2,1,1
98,1,4,1,4,5,2,8,2,1,4,1,2,2,1,1
99,0,0,3,4,0,2,1,2,3,3,1,1,2,1,1
100,1,2,1,5,2,1,1,2,2,4,1,2,1,1,1
101,2,0,1,0,3,1,4,4,1,3,1,0,6,1,1
102,4,6,1,0,4,1,4,6,1,3,1,0,1,1,1
103,4,6,1,0,4,1,4,6,0,3,1,0,1,1,1
104,2,3,1,4,4,1,0,6,0,2,1,2,6,1,1
105,2,3,1,4,4,1,0,5,3,2,1,0,6,1,1
106,2,3,1,4,5,1,9,3,2,4,1,1,4,1,1
107,2,4,1,4,4,5,4,2,1,4,2,2,3,1,1
108,2,2,1,4,4,1,0,2,1,4,1,1,1,1,1
109,4,3,1,4,3,0,3,6,3,1,1,2,1,1,1
110,1,4,1,5,4,2,4,7,1,2,1,2,2,1,1
111,1,4,1,4,0,1,2,7,1,3,1,1,2,1,1
112,0,4,2,4,3,1,1,2,3,2,1,2,2,1,1
113,0,0,2,3,3,1,4,0,0,2,1,2,2,1,1
114,1,4,1,3,4,1,9,2,1,3,1,2,2,1,1
115,1,3,1,3,4,2,9,2,3,3,1,2,2,1,1
116,1,2,2,2,2,1,2,2,1,8,1,2,5,1,1
117,1,4,3,2,3,2,2,2,1,2,1,2,6,1,1
118,1,4,3,2,3,2,2,2,2,2,1,1,2,1,1
119,1,3,1,2,1,1,4,2,1,4,1,2,4,1,1
120,1,4,1,4,5,2,4,7,1,4,1,2,2,1,2
121,1,0,1,0,0,3,1,0,1,4,1,2,1,1,1
122,1,3,0,0,5,5,2,7,1,1,1,2,2,1,0
123,1,4,2,2,3,1,1,5,1,2,1,1,2,1,1
124,1,4,1,5,5,2,6,0,3,8,0,1,3,1,1
125,1,0,1,3,0,0,2,1,2,1,1,0,6,1,1
126,1,3,1,3,3,1,2,7,1,4,1,0,4,1,1
127,1,4,1,4,4,5,6,5,2,4,1,2,5,1,1
128,1,4,3,3,4,2,4,2,1,4,1,2,2,1,1
129,1,0,2,0,4,5,0,2,1,2,1,1,5,1,1
130,1,0,2,0,0,5,0,2,3,2,1,1,5,1,1
131,1,3,3,4,4,0,1,2,1,4,1,2,3,1,1
132,1,3,1,3,4,2,4,2,1,3,1,2,3,1,1
133,1,3,1,3,4,2,4,1,1,3,1,1,1,1,1
134,1,2,1,3,4,1,1,6,1,4,1,2,6,1,1
135,1,4,1,4,3,5,4,2,2,2,1,0,4,1,1
136,1,4,1,4,3,5,4,2,2,2,1,0,4,1,1
137,1,4,1,4,3,2,1,2,2,2,1,0,6,1,1
138,1,4,1,4,4,5,4,2,0,2,1,2,1,1,1
139,1,4,1,5,4,5,4,2,0,2,1,1,1,1,1
140,1,6,1,5,5,0,1,2,2,8,1,2,5,1,0
141,1,3,1,3,2,0,1,2,2,4,1,1,1,1,1
142,1,4,1,4,4,1,9,2,1,4,0,2,2,2,1
143,1,4,2,4,3,5,9,2,4,4,1,1,3,1,1
144,1,3,1,4,4,1,9,6,2,2,1,2,3,1,1
145,1,5,0,4,3,4,4,4,1,5,0,0,1,1,1
146,1,4,1,0,5,1,9,2,2,2,1,1,1,1,1
147,1,4,1,0,4,1,1,4,2,2,1,2,1,1,1
148,1,4,1,4,4,5,1,7,1,1,1,2,1,1,1
149,1,5,1,6,5,4,1,7,2,4,1,2,4,1,2
150,1,5,1,5,3,1,4,2,1,3,1,1,2,1,1
151,1,2,1,5,3,1,4,7,1,3,1,2,1,1,1
152,3,2,1,3,5,5,2,1,4,4,1,1,2,1,1
153,3,5,1,6,4,0,6,2,4,3,1,0,6,1,0
154,0,0,1,6,4,2,3,2,0,3,1,0,3,1,1
155,3,4,1,4,0,1,0,7,2,4,1,2,2,1,1
156,3,6,1,6,5,3,2,2,4,4,1,2,6,1,1
157,3,5,1,5,3,1,4,0,2,4,0,0,0,0,0
158,3,2,1,3,2,1,4,2,1,5,1,1,6,1,1
159,3,5,1,5,0,1,1,2,1,5,1,2,5,2,1
160,3,5,1,6,4,0,1,2,1,2,1,2,6,2,1
161,3,4,1,5,5,2,4,2,0,2,1,0,2,1,1
162,3,4,1,4,4,1,4,6,0,2,1,0,6,1,1
163,3,6,1,6,5,1,4,1,1,3,0,1,1,1,1
164,3,0,1,0,3,2,4,0,0,3,1,2,3,1,1
165,3,4,1,0,3,5,5,7,1,3,1,2,2,1,1
166,3,6,1,6,5,1,4,7,0,3,1,1,1,1,1
167,3,5,1,4,5,1,4,0,1,4,2,1,5,1,1
168,3,2,1,4,3,1,1,1,1,1,1,2,1,1,1
169,3,6,1,5,4,1,2,0,4,3,0,1,5,1,1
170,3,3,1,6,4,2,0,6,3,2,1,1,5,1,1
171,3,2,1,0,5,1,2,4,1,4,0,0,5,1,1
172,3,4,1,5,4,0,1,2,2,2,1,1,4,1,1
173,3,4,1,5,0,2,0,7,0,2,1,1,2,1,1
174,3,0,1,0,3,"1, 2",4,1,0,3,0,1,3,1,1
175,0,0,6,0,0,5,1,2,1,8,1,1,5,1,1
176,0,4,3,3,5,1,6,0,0,4,2,1,4,1,1
177,2,5,3,3,4,1,2,2,3,1,1,1,4,1,1
178,2,3,1,3,2,2,1,2,1,9,1,1,2,1,1
179,4,5,1,4,5,1,1,2,1,4,1,2,5,1,1
180,4,5,1,6,4,1,6,7,1,4,1,2,2,1,1
181,0,0,3,4,4,1,4,2,2,4,1,1,5,1,1
182,1,4,1,4,2,5,6,6,1,4,1,1,2,1,1
183,0,0,1,4,5,1,1,2,4,4,1,2,2,1,1
184,1,5,1,0,3,1,1,0,2,4,1,1,6,1,1
185,2,4,1,4,4,1,1,2,2,2,1,2,1,1,1
186,2,4,1,2,4,1,2,7,2,4,1,2,5,1,1
187,2,4,1,5,5,0,9,3,1,6,1,0,5,1,1
188,2,4,1,4,4,5,1,7,1,2,1,2,5,1,1
189,2,3,3,1,5,1,7,7,0,3,1,0,5,1,1
190,2,6,1,4,3,3,0,4,2,4,1,1,6,1,1
191,2,3,1,4,4,4,9,2,2,2,0,0,1,1,1
192,2,3,1,5,4,1,1,2,1,4,1,1,2,2,0
193,1,5,1,5,4,0,0,5,3,1,1,2,1,1,1
194,2,4,1,4,4,1,2,2,1,2,1,1,2,1,1
195,2,3,1,4,4,2,1,7,1,2,1,1,2,1,1
196,2,4,1,4,5,1,1,2,2,2,1,2,2,2,1
197,1,2,1,4,2,1,0,2,1,1,1,1,1,1,1
198,3,4,1,4,0,2,0,6,3,8,1,2,5,1,1
199,3,3,1,4,3,1,4,2,1,2,1,0,1,1,1
200,3,4,1,4,4,1,1,3,1,4,1,1,3,1,1
201,3,5,1,4,4,0,9,2,0,7,1,0,5,1,1
202,3,4,1,4,5,1,4,2,2,4,1,2,2,1,1
203,3,5,1,6,5,0,4,2,3,3,1,1,3,1,1
204,3,5,1,6,5,1,1,1,3,3,1,1,5,1,1
